geneID	SRR6286160	ERR2004671	SRR7500703	ERR2004672	ERR2004665	SRR6059989	SRR7500712	SRR6059999	ERR2004689	SRR7478668	SRR6819302	SRR7500701	SRR1525661	ERR2004695	SRR6286163	SRR5454243	SRR6059991	SRR5454226	SRR7500695	SRR7500694	SRR1525666	SRR7500699	SRR6286162	SRR1525682	SRR7500723	SRR7500697	SRR7478667	SRR5454236	SRR6059983	ERR2004680	SRR1525678	SRR7500727	ERR2004692	SRR7478650	SRR1525675	SRR7500715	ERR1735551	SRR6059988	ERR1735557	SRR7478665	SRR7478651	ERR2004664	SRR1525669	SRR7478663	SRR6059984	SRR6286159	ERR2004696	SRR7500722	SRR6059981	SRR5454225	SRR7500718	SRR7500706	SRR7478678	SRR6286161	SRR7478661	ERR2004693	SRR1525663	SRR6059978	ERR2004676	SRR1525677	ERR2004684	SRR7500711	SRR7500698	SRR7500716	SRR7478653	ERR2004700	ERR2004690	ERR1735556	SRR6059993	SRR7500702	SRR7500709	SRR7478677	SRR1525681	SRR1525667	ERR2004694	SRR7500724	ERR2004675	ERR2004699	SRR1525662	ERR2004678	SRR5454240	SRR9640973	SRR7500728	SRR7478656	SRR5454231	ERR2004688	SRR6819299	SRR1525670	SRR1525683	SRR7478670	SRR7478676	SRR1525679	SRR7478655	SRR7478681	SRR7478675	ERR2004701	ERR2004682	SRR9640967	ERR1735552	SRR6059980	SRR7478683	SRR6819300	SRR7478664	SRR1525673	SRR7500705	ERR1735553	ERR2004709	ERR2004703	ERR2004708	SRR7500713	SRR5454232	ERR1735559	SRR7478674	ERR1735554	SRR7500714	SRR1525664	SRR9640970	ERR1735550	SRR9640974	SRR7478659	SRR5454234	SRR7478680	SRR7478672	SRR6059995	SRR6059987	SRR6059976	ERR2004704	SRR6819301	SRR5454227	ERR2004707	ERR2004683	SRR7478673	ERR2004681	SRR6059977	SRR7478657	SRR7500726	SRR7500708	SRR7478685	SRR6059986	SRR5454233	SRR7478669	ERR2004710	SRR7500725	ERR2004677	ERR1735560	ERR1735549	SRR6819282	SRR6059982	SRR7500719	SRR5454239	SRR1525672	ERR2004669	SRR1525665	SRR7478654	SRR6059997	SRR1525684	SRR5454235	SRR1525676	SRR7478679	SRR6059990	SRR6819303	SRR7478671	ERR2004691	SRR9640965	SRR6059985	ERR2004706	ERR2004705	SRR7500700	SRR1525680	SRR7478660	SRR7478662	SRR9640971	ERR2004697	SRR7500710	SRR7478666	ERR2004666	SRR1525674	SRR7500721	SRR6059992	SRR5454242	SRR7500696	SRR5454244	SRR7500720	ERR2004685	ERR1735555	ERR2004667	SRR7478658	SRR7500717	SRR1525671	SRR6819296	SRR9640972	SRR9640964	SRR5454241	ERR2004679	SRR9640975	ERR2004702	ERR1735558	SRR5454230	ERR2004668	ERR2004698	SRR6819304	SRR5454245	SRR6059979	SRR6059994	ERR2004687	SRR9640966	SRR7478652	SRR7500704	SRR5454238	SRR6819295	SRR5454228	SRR1525668	ERR2004711	SRR7478682	ERR2004686	SRR7500729	SRR7478684	ERR2004674	SRR7500707
AHY39278	145.544	135.24	56.5138	135.826	100.222	67.9036	71.9729	64.8282	98.5264	8.81885	74.5485	36.8456	165.306	137.346	144.389	80.8606	60.2098	164.182	184.71	183.231	143.331	35.3307	132.735	125.34	17.6478	190.931	9.45549	137.41	125.826	154.814	106.726	18.4959	106.245	48.3376	118.036	56.7575	240.904	54.866	51.9783	13.8772	51.0671	102.886	108.423	11.7806	92.8684	138.492	139.79	18.4067	123.701	114.105	32.6221	79.8811	25.5523	150.006	47.2788	144.599	170.244	109.217	100.403	115.958	160.282	76.6962	37.4266	53.1797	47.2643	104.934	101.551	65.1122	61.9693	55.5334	87.3145	24.0081	77.6237	131.545	135.781	19.6378	84.1655	85.148	177.929	165.695	84.2348	123.811	20.5212	47.1979	101.515	105.69	69.7839	178.138	86.2449	10.6775	22.1516	56.1263	43.6914	23.9634	28.7077	81.9211	147.356	279.219	26.2016	111.269	27.3547	68.7201	13.2984	88.2533	54.9577	37.6953	137.749	155.935	157.639	73.2836	216.412	89.1439	24.972	25.9335	54.3714	208.456	136.087	200.775	122.395	47.4327	195.03	21.0795	10.3111	51.0247	92.3225	79.302	153.518	39.9337	237.151	159.806	159.629	10.1239	150.689	107.916	44.9215	17.9241	81.0646	27.8583	81.1494	81.7919	8.50574	135.909	21.8308	81.7024	87.8477	166.557	47.9808	111.893	31.3367	208.188	135.373	151.471	182.119	45.0577	93.6008	90.6359	78.9542	95.893	25.7206	64.3206	18.419	9.8906	99.835	273.084	78.3152	141.537	158.8	35.799	84.7643	46.4195	11.7314	130.12	136.35	71.2148	8.13061	93.9811	96.8935	29.2199	51.0227	63.0237	195.355	61.2853	31.5197	140.09	49.561	98.928	48.5086	58.9014	161.015	41.0636	138.059	257.942	98.3553	149.003	117.051	171.237	77.6887	88.1485	105.164	147.642	43.8747	67.1252	103.324	85.1994	139.985	290.187	46.3466	54.1061	103.116	38.2896	106.715	139.74	136.349	25.7324	138.592	20.1551	23.951	151.083	77.3344
AHY39279	157.156	431.292	401.941	243.974	196.058	8.54743	527.666	603.364	189.298	165.956	81.9865	214.528	511.015	431.634	241.472	114.632	503.846	516.102	432.995	462.998	546.345	222.175	207.215	496.386	400.841	447.505	161.088	360.878	17.4696	245.712	492.933	377.197	244.241	399.682	507.82	434.939	284.997	10.4657	281.677	174.84	405.72	194.037	442.125	186.295	14.6844	161.695	247.003	387.731	10.7199	42.2329	378.508	422.424	228.666	228.833	371.606	328.171	514.021	8.34568	183.032	496.401	353.988	538.344	223.752	421.927	399.676	186.224	253.632	257.097	9.4656	401.961	415.363	219.372	342.929	449.019	378.898	404.197	136.464	146.648	528.763	243.549	94.8665	520.39	386.518	409.453	18.2911	210.096	52.1999	582.945	362.737	180.144	228.552	495.614	409.876	229.905	228.545	185.726	237.44	292.903	245.02	10.6556	216.229	54.5971	171.346	526.963	401.647	235.142	408.08	300.106	358.416	514.162	423.884	247.202	215.208	221.939	422.223	540.329	376.507	253.208	369.65	397.518	345.152	231.682	178.036	10.3254	14.5037	10.3246	242.106	78.7124	482.804	281.46	260.306	187.903	292.134	11.2279	408.745	380.067	432.09	214.482	9.69528	21.8303	152.676	373.058	404.958	185.692	261.207	298.886	37.7492	11.0402	390.402	519.044	565.471	333.552	535.176	410.784	532.328	522.69	137.418	518.669	228.584	505.247	15.8215	184.641	225.842	370.81	10.9509	223.103	297.782	237.153	458.503	377.019	168.586	550.889	237.552	527.732	163.706	253.615	478.868	371.023	6.4969	191.806	449.346	23.1572	376.602	415.441	267.018	225.84	401.046	439.63	609.349	38.1928	355.695	189.033	118.809	295.004	513.705	244.898	234.391	16.6272	237.125	143.711	52.9993	137.372	12.0002	14.8109	412.18	142.011	398.343	404.688	314.3	46.2548	355.736	698.269	408.675	220.009	368.396	385.37	227.232	142.545	436.669
AHY39280	115.286	717.394	407.725	708.675	387.317	395.266	554.136	476.43	389.013	83.2316	414.076	259.958	459.668	721.596	143.325	424.269	428.155	449.735	474.81	479.225	516.058	260.714	132.574	538.054	294.391	470.297	81.0805	480.934	529.355	602.054	486.429	280.733	402.973	457.533	458.958	398.509	365.09	473.847	218.296	99.7959	451.7	399.381	320.883	93.831	605.275	136.23	711.98	285.204	535.696	392.385	326.077	553.154	173.44	140.353	423.572	697.929	382.225	615.713	416.735	486.277	931.536	552.72	260.034	398.051	460.207	416.477	392.625	248.577	554.918	401.516	550.32	175.082	270.394	375.527	730.446	286.407	420.587	418.037	368.532	623.875	378.569	378.121	286.617	448.516	410.364	401.573	396.363	562.3	451.773	102.085	174.272	509.883	446.64	177.342	172.228	416.79	611.286	671.271	209.721	527.963	181.758	393.971	99.8564	521.751	402.56	228.346	891.019	602.363	922.802	554.382	387.096	605.685	176.761	212.849	399.019	476.69	325.039	382.223	326.482	412.893	485.304	173.009	111.067	414.05	500.128	482.992	605.178	375.488	483.823	803.683	811.162	106.188	629.736	514.304	438.11	288.037	564.622	181.112	484.6	473.105	81.8432	862.011	284.244	409.453	596.663	334.356	366.178	515.289	321.932	347.676	507.173	696.041	316.13	443.922	401.636	473.174	476.766	526.9	178.751	385.596	180.88	105.947	395.693	706.627	472.373	629.716	617.972	262.897	491.587	412.235	101.492	385.117	711.3	552.557	85.3321	400.854	466.795	328.988	370.016	442.01	474.017	325.213	316.458	890.217	226.629	400.346	416.395	390.913	410.144	370.515	328.46	582.256	393.823	605.537	390.95	625.439	599.634	379.583	403.555	432.98	273.128	448.586	562.518	412.997	839.996	571.301	450.273	409.992	367.427	363.381	362.502	399.503	846.969	185.634	856.385	282.628	184.372	429.799	552.638
AHY39281	58.7245	271.587	187.453	255.765	115.227	122.435	213.317	239.052	140.121	59.8033	69.0484	135.208	130.773	271.641	74.1774	300.951	112.122	173.115	213.598	191.201	162.562	126.434	67.7063	119.287	62.4975	213.965	53.0868	239.348	193.409	233.308	122.728	63.3253	140.693	268.044	135.586	164.192	1472.67	164.661	696.038	68.0047	245.156	155.629	291.726	63.4229	252.742	77.8476	304.984	53.585	223.153	270.444	117.996	219.87	80.8278	100.133	235.706	280.623	155.438	257.291	205.682	115.657	424.061	196.374	147.467	182.713	260.389	211.914	129.098	719.175	197.896	180.306	231.455	74.6726	280.199	211.911	280.027	46.9779	245.473	242.783	119.025	244.138	262.044	230.348	62.2092	236.605	277.885	157.917	72.5329	118.271	105.157	61.2604	78.7251	195.514	232.236	71.7133	69.3862	244.766	258.869	392.527	680.206	228.738	85.0642	59.1991	78.3955	120.781	191.113	681.69	346.4	226.381	344.184	223.913	265.786	718.44	78.0608	705.214	172.56	145.426	122.7	1566.51	98.551	217.198	262.399	78.9806	62.3932	267.806	252.662	240.055	221.559	68.289	273.424	346.541	342.024	60.8137	275.664	182.467	228.926	62.1688	207.026	80.0994	190.414	238.79	58.6698	388.232	56.0817	223.928	960.279	1499.38	132.828	198.831	112.578	122.531	165.119	304.221	112.173	227.958	144.628	165.926	243.089	156.55	70.9216	112.541	144.034	73.4565	124.69	433.235	205.982	284.119	306.055	141.11	224.004	249.593	77.5837	265.094	342.379	203.235	61.7775	150.418	135.545	120.675	166.929	277.948	204.537	246.268	102.971	387.171	706.861	122.121	206.958	174.479	150.226	70.1417	109.834	163.429	248.81	270.599	245.467	256.1	506.697	242.501	128.722	177.505	109.383	250.909	227.499	185.367	399.514	122.38	236.083	201.767	142.367	75.7137	224.998	205.468	443.946	92.5599	373.397	55.9398	90.3638	144.11	224.423
AHY39282	13.0436	209.4	49.4406	204.427	46.7027	89.8585	64.6458	152.97	47.6486	25.1361	47.253	46.0187	96.3285	222.927	17.279	152.501	78.3384	236.179	130.674	130.061	133.095	48.0149	16.7866	99.0017	27.6666	133.214	30.171	123.825	96.2242	188.202	94.5665	28.6358	64.931	58.5003	96.1482	45.1528	2180.54	89.1259	2104.75	32.9587	58.6849	41.8789	250.764	32.1792	114.926	16.175	203.33	26.6298	109.584	176.065	31.2009	57.3476	29.0755	19.1609	60.1146	214.459	129.787	110.47	163.134	89.9582	305.846	62.8462	50.12	42.8988	64.3537	162.376	45.2433	2192.31	109.859	47.152	60.9585	28.5738	248.749	172.617	209.005	28.3755	208.751	210.103	82.9822	195.928	164.061	79.3047	28.3496	62.8563	184.768	39.6108	45.8	92.8719	98.3034	30.6608	28.1284	193.467	60.1561	28.0373	30.6385	196.213	220.539	426.009	2358.83	115.515	22.2172	43.0448	32.7067	108.703	50.1367	2206.61	305.565	209.878	306.522	64.3962	177.551	461.504	26.2112	2368.12	49.5605	109.882	70.4626	2413.74	73.9914	61.3755	169.718	28.0939	33.2549	183.316	138.56	141.314	196.382	65.0123	207.921	252.682	247.793	32.0242	212.514	91.2593	61.7987	27.7971	58.988	23.4611	121.048	119.548	28.0472	298.916	30.0393	194.307	716.698	2270.66	90.7134	113.886	29.0889	55.7072	141.175	221.086	65.9162	59.6902	66.9603	136.344	117.183	132.215	26.4529	78.3242	122.554	33.1626	51.2061	370.57	109.151	237.206	213.835	48.7937	202.154	60.2549	35.9381	86.6929	268.329	62.7576	27.436	49.8113	99.3633	33.1857	138.479	160.577	120.912	164.472	32.4687	297.071	2296.09	51.2888	60.3378	44.8937	111.083	59.4351	68.2618	301.248	167.391	211.733	86.5693	203.327	397.883	199.666	63.1432	132.448	101.835	141.224	116.897	110.497	322.195	355.984	67.9516	45.4353	52.5244	64.7628	158.646	149.65	321.997	23.8631	311.376	29.4132	22.5203	133.834	60.941
AHY39283	85.3582	84.9486	101.85	79.1539	44.1328	36.694	59.0728	51.3192	44.0481	10.5727	34.6167	17.8538	88.0412	78.3055	109.293	50.7497	43.1859	45.762	250.334	258.768	93.9642	20.6848	101.948	86.6714	143.277	250.628	9.36021	44.6065	41.765	52.785	62.0225	139.973	40.6343	24.9977	62.7419	121.076	269.9	31.4003	23.2801	12.0464	24.2905	76.622	35.7201	13.8961	42.6835	101.039	78.439	142.019	47.9787	75.1331	72.1741	55.8353	20.8522	108.074	26.6155	115.988	55.8096	53.8842	33.3039	65.965	70.5227	61.3689	20.2951	115.871	26.4102	34.9978	47.1496	64.072	34.0718	104.748	56.1331	20.3377	33.3332	58.5742	86.6195	139.103	39.1975	36.7998	61.4529	99.5116	35.7849	79.6366	141.083	24.0899	24.7041	73.5801	32.9733	103.845	78.0265	10.8808	21.3813	52.9341	25.1616	19.0428	22.5989	34.7404	47.1706	643.323	28.7321	47.2083	19.4519	34.9058	12.4223	61.7142	98.4003	64.0766	69.0916	57.0564	67.7342	64.5961	42.7856	42.7271	21.4873	28.0277	118.549	96.6946	58.0162	311.798	55.9745	23.1701	59.0857	21.926	10.0905	29.6043	45.3261	35.8083	55.0748	11.6722	52.4021	95.5168	100.011	11.1554	54.7996	42.1522	23.9783	141.658	62.3288	20.0318	37.9708	42.6007	10.2597	70.5954	143.571	33.6972	44.0145	214.656	11.7733	48.0763	75.4254	56.3687	95.7626	114.345	57.2527	22.9578	61.5052	53.9075	42.6387	55.2893	20.7146	47.8121	4.52398	10.1583	46.1259	534.319	43.7548	47.3099	53.7817	19.9182	61.28	27.0481	12.0372	69.6659	81.0354	59.0614	12.1519	47.4768	62.9225	71.6647	31.3402	61.8987	249.98	34.3837	74.5782	61.1323	20.2174	46.4207	26.3861	116.798	86.8013	10.3505	66.0716	440.648	42.3377	62.8191	67.0489	100.222	40.0731	24.3281	45.5546	42.6505	9.20789	55.0265	45.0093	33.3395	61.9849	538.081	24.603	100.013	36.3666	9.52971	53.4397	67.2446	64.3384	19.0556	71.858	140.871	18.1832	39.0003	59.6534
AHY39284	48.7387	31.1389	296.927	32.7667	26.1461	661.512	588.112	390.657	27.5342	87.9423	1454.28	481.516	30.2039	29.5372	50.3735	183.572	632.149	193.934	291.059	286.642	33.1506	477.769	442.994	143.807	187.329	288.768	86.9746	180.225	979.707	34.8732	408.196	184.851	26.7563	542.073	76.1873	275.607	211.325	673.14	73.2643	106.491	544.72	28.8527	17.4744	108.086	883.649	43.704	32.5439	180.778	946.388	150.054	192.309	601.076	592.624	55.8816	605.363	93.8198	19.6958	1149.25	55.4701	148.991	90.7355	587.962	488.91	278.307	541.851	55.3707	27.7222	115.049	828.454	292.366	598.625	587.575	25.5953	25.0883	30.8543	182.43	318.63	319.864	51.5255	50.9254	248.709	353.511	184.705	519.154	322.527	29.4003	1550.47	33.1116	51.8928	115.218	585.376	324.61	521.203	586.106	593.38	99.9396	30.9135	550.681	102.884	972.245	307.029	1546.83	104.791	75.7273	298.158	131.365	82.9493	47.1127	88.7405	594.487	275.034	111.603	584.26	108.506	275.779	26.4542	317.718	241.792	333.041	598.668	339.349	585.529	113.841	803.323	1084.86	1024.08	35.5061	754.308	147.184	133.94	134.733	116.397	42.3101	914.407	524.173	184.616	600.287	311.042	1029.27	98.3954	87.9637	70.8796	178.402	98.6421	127.745	168.837	145.026	1029.95	193.357	92.6457	33.1401	93.21	126.913	521.636	481.985	62.5526	109.005	259.333	591.715	627.148	122.062	118.21	26.6436	516.734	998.599	33.5459	40.0512	485.811	43.3558	601.824	104.032	350.131	30.218	589.108	87.4182	27.3933	68.4959	193.224	840.973	216.803	280.498	284.023	200.351	81.0372	83.0806	28.1218	594.807	275.438	23.1598	1022.41	332.813	512.233	261.72	49.0232	348.551	52.6499	97.0174	317.316	25.941	81.9821	144.853	191.102	1040.05	763.293	46.9883	525.075	544.281	296.491	115.672	1035.11	81.5612	25.3499	49.7482	307.547	71.8121	184.128	309.226	79.7092	602.692
AHY39285	68.6317	0	0	0	0	167.887	0	511.531	0	0	138.592	0	23.3091	0	62.5168	61.0429	364.886	156.506	0	0	28.0111	0	365.423	97.7885	0	0	0	129.205	180.956	0	283.405	0	0	0	78.135	0	0	113.755	0	0	0	0	31.4635	0	123.66	55.3544	0	0	173.955	31.2551	0	0	0	77.719	0	0	32.4818	125.86	0	114.604	0	0	0	0	0	0	0	0	110.499	0	0	0	41.6655	28.8854	0	0	0	0	54.9148	0	63.8613	210.131	0	0	23.0288	0	121.795	25.4968	24.6029	0	0	244.809	0	0	0	0	0	58.6485	0	190.024	0	121.186	0	56.6185	0	0	0	0	0	0	254.729	0	0	0	0	23.0356	177.449	0	170.4	0	268.798	0	0	120.796	134.721	193.663	0	74.2439	127.636	0	0	0	0	162.399	0	0	0	0	163.382	22.1757	0	0	0	0	0	0	11.1075	185.891	0	75.339	29.7613	0	117.024	0	357.573	62.6816	81.1076	153.781	0	403.403	6.93894	0	0	45.5911	213.668	0	0	0	41.9338	0	0	210.617	0	0	0	0	54.3892	0	142.674	113.313	0	28.9061	0	0	0	0	0	0	38.8341	62.5122	177.323	38.6027	76.9133	0	194.624	0	0	24.456	0	0	12.6599	60.4583	159.148	126.288	0	48.5721	0	0	48.5428	62.3968	148.505	36.4782	0	0	0	0	0	0	0
AHY39286	47.2692	49.0813	396.898	56.2	39.0365	641.111	1031.82	558.367	32.0504	63.8257	1785.18	412.509	54.0408	52.929	54.5405	348.978	564.686	274.835	350.021	341.457	50.3778	423.316	323.286	165.43	128.655	335.79	67.2086	194.533	1367	58.2307	543.139	138.538	35.3829	494.781	122.291	340.846	244.21	834.727	91.724	117.594	496.789	39.4162	43.779	114.623	1243.86	50.9841	53.0283	134.661	1222.29	206.333	173.651	1073.92	261.309	58.323	501.357	122.972	58.3236	1618.3	92.2209	199.144	69.9614	1035.59	422.598	336.33	497.713	93.2724	37.5525	132.156	1238.35	391.089	1067.5	269.837	50.5149	44.5062	54.8168	137.662	352.242	356.814	93.4779	65.3616	396.258	320.668	133.097	482.565	482.094	33.5843	1916.04	61.8357	62.4938	106.219	272.35	414.686	479.674	264.052	272.345	103.377	58.6577	849.305	118.086	1320.69	190.291	1975.31	117.178	97.2504	390.033	152.879	68.5485	71.5847	71.2473	1014.35	351.017	118.918	270.041	133.574	334.644	40.3781	204.77	272.364	201.989	521.384	424.04	254.485	100.464	1105.81	1714.52	1634.58	62.3635	869.106	168.772	141.699	141.752	102.159	67.0172	1117.59	486.851	137.507	1080.2	194.253	1620.65	319.94	69.1573	68.9259	139.566	97.7635	115.556	197.265	216.046	1476.61	167.395	105.158	53.0786	119.841	151.157	480.314	464.627	100.088	294.505	302.25	252.402	498.092	165.341	99.4692	37.3677	770.383	1459.23	60.581	64.6967	408.759	66.7882	513.67	116.754	343.435	55.2967	1043.34	66.772	36.5757	93.9002	164.008	1128.62	417.186	333.339	415.854	165.492	63.8488	95.628	36.7731	511.884	328.058	60.8267	1204.17	204.043	497.593	366.334	74.1835	339.722	62.87	120.421	489.634	37.4216	94.63	191.681	299.294	1416.93	997.728	55.0774	606.122	494.178	389.461	108.463	1156.11	179.373	45.1562	56.4089	192.532	68.8169	136.099	193.055	95.9947	1058.79
AHY39287	110.089	107.739	617.301	64.4677	361.081	93.8869	1049.61	260.828	321.468	145.384	351.773	866.159	92.6526	96.5411	124.958	321.706	78.3817	164.588	433.28	428.955	225.32	895.213	391.899	338.7	135.008	423.674	146.056	700.197	125.896	653.83	165.761	129.065	317.027	955.572	169.89	522.846	1125.87	34.3682	981.734	207.891	946.042	436.037	91.7	191.012	157.046	140.096	60.0304	141.987	248.412	315.074	164.97	1027.01	297.917	135.626	906.316	162.501	110.587	264.159	24.1084	111.803	195.629	1032.73	914.767	547.575	967.461	23.0137	350.242	1050.8	43.0366	620.288	1104.62	316.176	69.3953	117.183	142.72	139.69	48.057	44.5422	136.078	708.763	308.79	489.696	142.928	925.027	176.176	409.858	334.873	124.591	328.127	164.516	306.459	152.336	910.842	304.789	311.334	21.5418	590.163	180.728	325.696	179.267	398.377	296.353	207.137	132.786	634.008	290.683	152.281	537.001	197.503	1039.61	379.738	661.41	305.963	289.226	524.241	86.2009	311.007	1183.18	326.346	921.484	428.243	313.258	170.544	35.0873	181.645	92.3488	644.535	115.575	267.849	189.241	191.075	171.041	607.159	162.932	914.701	123.674	1116.83	401.804	148.015	894.917	151.897	77.2566	135.254	20.3245	663.704	1161.68	124.672	180.45	169.948	505.254	215.212	169.599	144.963	902.762	209.63	344.278	606.391	99.8213	312.611	89.0974	63.2228	166.945	353.776	182.471	179.401	619.336	605.975	891.548	409.402	897.59	214.199	518.391	87.4386	1013.27	145.984	336.059	185.602	166.556	53.8597	305.233	436.05	242.255	156.819	143.826	1050.21	355.449	928.988	523.555	148.153	118.427	270.52	206.634	324.418	528.281	539.459	751.227	633.972	175.206	318.026	25.7348	98.5392	320.207	185.825	65.841	106.547	242.505	962.114	598.51	544.291	104.705	414.43	90.5942	110.792	406.678	83.4625	129.518	390.246	25.3897	1095.52
AHY39288	2767.78	788.643	2364.5	291.806	763.237	418.179	2890.19	1579.86	817.262	785.781	687.224	2824.17	752.87	672.333	3175.54	1424.27	414.556	1024.54	2116.04	2119.87	1668.89	2817.89	2454.85	3780.91	1140.47	2129.53	799.178	2818.39	114.12	2843.91	666.158	1149.58	921.404	4512.67	4089.47	1988.39	750.946	5.92569	757.864	1034.99	4760.44	821.492	1247.78	1011.58	41.4683	3294.59	302.747	1231.37	428.942	994.805	1324.74	2208.51	610.842	3392.56	4053.2	786.808	1094.2	121.994	687.476	890.858	1025.39	2927.95	2746.71	2001.87	4849.43	672.83	1046.73	673.308	8.97338	2314.96	2361.39	503.955	1002.74	1307.73	818.187	1215.34	470.036	433.654	1227.17	2972.15	1158.5	1263.1	1207.41	4010.11	357.761	917.856	597.089	1315.3	5159.58	872.92	570.632	4470.58	3917.62	546.532	552.512	633.821	2762.1	50.3738	377.384	148.715	901.294	542.551	982.117	3437.57	2372.78	321.444	1008.88	2329.74	1017.43	2967.45	2892.43	1166.68	515.549	336.923	1872.95	1704.73	510.554	771.478	797.98	3943.32	2712.32	543.033	846.559	37.3981	509.556	48.7044	3029.48	1586.08	1617.15	1026.86	1109.42	798.657	2581.19	532.639	3938.84	1184.88	2417.25	772.074	78.4042	1027.24	788.816	347.745	1201.27	568.43	1326.44	878.574	342.247	497.804	1431.21	2150.73	1568.12	793.089	1772.19	4163.81	719.954	8994.8	1235.18	929.393	526.736	433.759	576.938	757.759	915.939	66.9702	625.063	2681.29	2721.21	2930.44	10723.8	3946.02	1120.27	1090.37	593.747	3054.59	804.148	948.095	3799.89	1310.61	171.957	2035.32	2239.08	828.304	1311.21	1050.93	583.568	954.929	3971.78	1841.79	2044.81	707.855	617.558	64.4392	1518.54	2125.21	1236.24	2787.02	941.504	304.352	941.768	236.097	908.017	1355.7	46.6327	98.3855	485.061	21.5271	4819.15	2364.61	1835.98	938.754	2570.98	1180.27	504.081	845.235	317.462	1181.01	862.705	321.371	2312.66
AHY39289	1022.79	3277.95	1615.73	1230.53	3028.91	395.508	611.718	871.079	3070.83	547.153	2090.45	6650.12	93.8599	3333.88	1185.67	3851.37	306.019	6215.91	1287.11	1320.37	4042.5	6712.21	1041.5	12208.6	127.923	1317.86	566.96	6899.67	6664.64	11315.4	430.264	132.798	3473.77	7634.82	11560.1	1243.55	8520.28	617.374	10888.7	1009.8	7629.04	2863.85	1291	1025.72	9453.54	1184.98	1219.94	128.727	7855.11	6540.8	112.499	632.034	265.486	1258.36	7088.28	2369.4	165.829	11559.6	4001.26	345.262	5375.05	619.688	6764.82	1238.22	7710.72	3946.71	3449.47	10632.6	494.635	1646.24	628.962	248.33	1177.51	889.89	3789.97	117.023	2886.45	2888.71	65.9381	11167	4396.52	17505.2	123.547	6971.81	7594.12	2881.71	2386.61	1329.07	15977.7	805.201	257.133	24915	6930.82	241.605	252.246	3155.37	10973	1408.97	14463.5	8390.58	783.754	2260.36	1017.71	10821	1626.39	14483.2	4694.4	9123.78	5397.4	588.468	6853.04	14200.3	257.8	15082.7	1242.46	769.948	13330.8	8918.68	14936.3	7172.62	3718.32	264.119	800.794	915.552	13182	5681.71	11190.4	9338.34	5233.23	3802.23	3815.8	796.778	10256.5	5671.38	6936.92	130.48	665.574	802.751	13280.3	9064.38	553.829	1650.56	118.364	3182.04	14007.8	9162.39	9045.55	5999.93	124.167	1877.58	3952.21	2389.02	914.194	6966.56	1207.62	30663.2	2512.97	383.182	235.221	287.66	21870.9	797.179	3748.81	1477.45	8359.74	10893.3	10172.2	6695.5	41820.9	7135.76	1018.75	16694.6	2708.5	610.249	538.016	3401.08	12690.2	124.97	842.912	3768.63	1305.69	3627.73	132.412	4696.18	11311	3653.64	6984.07	1257.18	1627.19	7814.33	14558	1209.21	3877.21	9125.05	17413.9	11079.1	14147.7	7886.04	3511.03	1617.59	11332.7	4193.46	12208.2	639.849	2387.19	953.575	7745.92	1650.94	3490.88	8106.43	6597.74	873.326	2395.77	793.203	1715.6	116.873	787.091	1654.55	622.807
AHY39290	56.0161	259.153	163.448	281.704	65.2879	243.071	190.374	190.743	67.3478	121.969	346.656	141.88	110.71	252.577	74.3014	339.232	191.67	302.358	306.697	309.898	262.489	141.187	50.7038	344.121	176.02	297.206	123.27	243.154	285.415	140.484	137.415	177.507	74.2614	250.103	138.258	160.797	260.39	331.776	127.867	144.686	241.618	55.4262	357.519	149.603	285.879	58.6236	291.491	181.16	237.63	298.24	136.484	222.598	110.511	66.0003	249.109	249.125	152.066	317.273	396.468	165.389	258.798	193.315	134.849	160.019	242.377	399.769	65.88	164.274	363.74	165.783	221.153	120.412	316.641	253.234	245.442	177.913	419.004	415.778	107.009	135.935	225.814	131.129	181.985	242.109	338.187	61.0228	341.128	192.47	280.525	128.203	117.7	112.044	251.11	121.13	121.33	444.69	158.626	212.581	158.109	234.409	114.726	372.071	143.466	202.784	163.128	183.301	269.581	149.234	266.32	194.729	220.51	177.471	121.06	161.635	161.962	145.634	113.408	286.453	120.474	250.435	261.727	124.508	127.642	389.038	263.501	343.638	145.271	243.96	264.774	256.814	254.212	121.558	155.404	232.654	235.757	182.397	223.56	117.577	274.528	282.178	124.552	312.001	180.031	432.769	160.492	217.062	331.809	274.516	131.802	188.153	260.667	253.795	127.494	239.733	159.332	270.192	210.845	194.751	122.014	182.203	347.169	128.994	70.2129	178.281	226.657	155.657	155.104	135.72	111.944	241.58	145.021	128.416	283.582	198.635	118.374	63.8518	167.871	132.801	357.127	329.212	304.931	311.584	133.784	270.036	136.694	67.4369	254.243	166.472	161.748	285.11	117.035	165.683	228.048	144.487	133.795	133.16	168.979	288.813	76.0712	303.484	296.731	276.339	310.145	334.332	301.698	203.331	239.236	172.595	186.84	292.073	177.636	389.935	300.108	121.229	307.322	183.196	118.53	317.033	221.936
